Company,Title,job_meta,location
(주)핀인사이트,⭐인턴기회제공⭐핀테크 실무프로젝트 기반 생성형AI 데이터분석 과정 모집,"데이터분석가
데이터엔지니어
앱개발
웹개발
데이터라벨링
외",서울전체 외
"(주)에프앤가이드
화천그룹
코스닥",에프앤가이드 각 부문 신입 및 경력사원 모집,"데이터분석가
데이터엔지니어
앱개발
웹개발
웹마스터
외",서울 강서구
(주)경일게임아이티아카데미,게임회사 취업 연수생 모집,"게임개발
데이터분석가
백엔드/서버개발
앱개발
웹개발
외",서울전체 외
"(사)한국화재보험협회
공사·공기업",2026년 신입/경력직원 공개 채용,"데이터분석가
데이터엔지니어
데이터시각화
딥러닝
머신러닝
외",서울 영등포구 외
(주)코딧,머신러닝 엔지니어 (2년이상),"머신러닝
Docker
Pytorch
Tensorflow",서울 영등포구
(주)로고스에이아이,(주)로고스에이아이 AI BackEnd / LLM 개발자 채용,"데이터분석가
데이터엔지니어
백엔드/서버개발
머신러닝
AI(인공지능)",서울 서초구
"쿠팡로지스틱스서비스(유)
쿠팡그룹
대기업",[쿠팡로지스틱스서비스] 데이터 분석 담당자 모집,"데이터분석가
데이터엔지니어
DBA
데이터마이닝
데이터시각화
외",서울 송파구
"(주)비아이매트릭스
코스닥",[코스닥기업] 생성형 AI 엔지니어 채용,"데이터엔지니어
데이터시각화
머신러닝
AI(인공지능)
Python",서울 강남구
마린웍스(주),AI(인공지능) 개발 및 데이터 분석 연구자,"데이터분석가
데이터엔지니어
데이터라벨링
데이터시각화
딥러닝
외",서울전체 외
"(주)미트박스글로벌
미트박스글로벌그룹
코스닥",[미트박스] 데이터 사이언티스트 (DS),"데이터분석가
데이터엔지니어
머신러닝
데이터 사이언티스트",서울전체 외
"에스케이쉴더스(주)
대기업",생성형AI 활용 사이버보안 채용연계형 양성과정,"기술지원
데이터분석가
데이터엔지니어
백엔드/서버개발
보안컨설팅
외",서울전체 외
(주)이콜트리,Java 개발자 모집 (해당 직무 경력),"백엔드/서버개발
프론트엔드
데이터시각화
딥러닝
머신러닝
외",서울 강남구
(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 인턴 모집","데이터분석가
머신러닝
빅데이터
크롤링
Pandas
외",서울 강남구
(주)마크클라우드,"AI 개발(Python),데이터분석 및 사업기획 경력 모집(석사이상)","데이터분석가
머신러닝
빅데이터
크롤링
Pandas
외",서울 강남구
"(주)에이엠시지
코넥스",연구그룹 알고리즘 개발자 모집,"딥러닝
머신러닝
알고리즘
음성인식
이미지프로세싱
외",서울 서초구 외
한림대학교산학협력단,2025년 하반기 딥러닝/머신러닝/연구원/Python外 모집 공고,"딥러닝
머신러닝
빅데이터
AI(인공지능)
Python
외",서울 영등포구
"(주)넥서스커뮤니티
유베이스그룹
외국계",AI 개발자 채용,"딥러닝
머신러닝
챗봇
NLP(자연어처리)
NLU(자연어이해)
외",서울전체 외
(주)시크한,주식회사 시크한(SEEKHAN) AI 개발팀장 채용,"앱개발
딥러닝
머신러닝
블록체인
클라우드
외",서울 관악구
(주)정션메드,헬스케어 AI 모델링/자료분석 채용 공고,"데이터분석가
데이터라벨링
데이터시각화
머신러닝
모델링
외",서울 마포구
"쿠팡(주)
쿠팡그룹
대기업",[쿠팡이츠] Business Innovation PM (7년 이상),"데이터분석가
딥러닝
머신러닝
Python
SQL
외",서울 강남구
(주)두원전자통신,인공지능 AI 서비스 개발 및 유지보수 경력직(팀장급) 모집,"백엔드/서버개발
딥러닝
머신러닝
영상처리
인프라
외",서울 금천구
(주) 스카이브,AI 개발자 경력사원 채용,"딥러닝
머신러닝",서울 서초구
"(주)에이치에스효성
효성그룹
대기업",2025년 하반기 HS효성그룹 신입공채,"기술지원
데이터분석가
데이터엔지니어
네트워크
데이터시각화
외",서울전체 외
휴먼IT교육센터_국비지원무료교육,[국비무료/숙식무료]AI/빅데이터분석/풀스택/KDT심화,"게임개발
데이터분석가
데이터엔지니어
백엔드/서버개발
앱개발
외",서울 영등포구 외
"(주)심플랫폼
코스닥",ML Engineer(LLM/AI Agent) [병역특례],"머신러닝
Python
Pytorch
Tensorflow",서울전체 외
"(주)심플랫폼
코스닥",AI 원천기술 연구/SW개발자 [병역특례],"머신러닝
Python
Pytorch",서울전체 외
"(주)심플랫폼
코스닥",ML Engineer(MLOps)-Global Candidates,"머신러닝
Docker
Kubernetes
Linux
Python
외",서울전체 외
(주)클레,3차원 머신비전 알고리즘 개발,"머신러닝
블록체인
알고리즘",서울 성동구 외
(주)모멘티어테크놀로지스,생성형 AI/LLM 엔지니어,"딥러닝
머신러닝
AI(인공지능)",서울 강서구 외
(사)스마트인재개발원,"[81%취업] 빅데이터,AI 무료취업과정 모집!","백엔드/서버개발
앱개발
웹개발
머신러닝
빅데이터
외",광주 남구 외
(주)이너웨이브,"[이너웨이브] 기술연구소 - AI 모델 개발자 채용(신입, 경력)","딥러닝
머신러닝
AI(인공지능)
Git
Java
외",서울 강남구
(주)마인드에이아이,Python 개발자 (백엔드 엔지니어),"딥러닝
머신러닝
빅데이터
알고리즘
챗봇
외",서울 중구
"(주)연합인포맥스
연합뉴스그룹",IT/AI부문(전문연구요원포함)경력(1~3),"딥러닝
머신러닝
AI(인공지능)",서울전체 외
"(주)연합인포맥스
연합뉴스그룹",IT/AI부문(전문연구요원포함)경력(4↑),"딥러닝
머신러닝
AI(인공지능)",서울전체 외
"(주)연합인포맥스
연합뉴스그룹",IT/AI부문(전문연구요원 포함)신입,"딥러닝
머신러닝
AI(인공지능)",서울전체 외
(주)알세미,AI/ML Researcher(전문연구요원),"딥러닝
머신러닝
AI(인공지능)",서울 강남구
(주)알세미,AI/ML Junior Researcher,"딥러닝
머신러닝
AI(인공지능)",서울 강남구
휴먼IT교육센터_국비지원무료교육,[휴먼교육센터]머신러닝 빅데이터 강사 채용[서울 영등포 센터],"딥러닝
머신러닝
빅데이터
AI(인공지능)",서울 영등포구
(주)트리거파트너스,[칵테일펀딩] 플랫폼 개발 및 운영 개발자,"백엔드/서버개발
앱개발
웹개발
프론트엔드
머신러닝
외",서울 강남구
에이콘아카데미 홍대학원,[국비지원]국방 데이터 분석 취업 과정 – 한화에어로스페이스 주관,"데이터분석가
데이터엔지니어
백엔드/서버개발
프론트엔드
딥러닝
외",서울전체 외
"(주)알라딘커뮤니케이션
대기업",[알라딘] AI 엔지니어,"딥러닝
머신러닝
알고리즘
TTS
AI(인공지능)
외",서울 중구
"(주)블루개러지
제이와이피엔터테인먼트그룹","Software Engineer/3D Graphics,Motion","딥러닝
머신러닝
Pytorch
데이터 사이언티스트",서울 강동구
(주)아이트럭,머신러닝 개발자,"딥러닝
머신러닝
AI(인공지능)",서울 서초구
"(주)데이터디자인엔지니어링
외국계",[경력] 컴퓨터 비전 엔지니어/연구원,"머신러닝
이미지프로세싱
Docker
Linux
OpenCV
외",서울 구로구
"현대엘리베이터(주)
현대그룹
대기업",[현대엘리베이터] 엘리베이터 전장개발 경력 채용,"머신러닝
임베디드
RTOS
S/W
AI(인공지능)
외",서울 종로구
(주)에이아이파크,머신러닝 연구원/엔지니어,"데이터분석가
웹개발
SE(시스템엔지니어)
딥러닝
머신러닝
외",서울전체 외
(주)미리디,[미리캔버스] AI Researcher,"데이터엔지니어
딥러닝
머신러닝
클라우드
AI(인공지능)",서울 구로구
"(주)티사이언티픽
제이에스아이홀딩스그룹
코스닥",[티사이언티픽]AI 엔지니어 (AI Research Engineer) 채용,"데이터라벨링
딥러닝
머신러닝
AI(인공지능)",서울 동작구
(주)트리플하이엠,[연구개발본부]마케팅 데이터 사이언티스트 (Marketing AI) 모집,"데이터라벨링
데이터마이닝
데이터시각화
머신러닝
AI(인공지능)
외",서울 금천구
빅웨이브로보틱스(주),AI 엔지니어,"딥러닝
머신러닝
음성인식
이미지프로세싱
자율주행
외",서울 강남구
